OTU.ID	REV1	REV2	REV3	REV4	REV5
c9a6efc471f6349aaff21596cc4f36457035388c	42344	37827	102371	361895	76638
c79680888418778df5343cc6dcd3730c7e81219b	606	185	7031	19564	6411
21aded02b45b0f1462d4a6764414380c93e0476a	1641	259	2692	21229	7384
411db69f5c717d30c85f0591a49371a0fec4bb41	2313	53	3403	6538	2200
7cebb11b3af2fa8e76dc7fea58c5bb3b6a69a35b	127	63	28	12252	50
99ea27b7311bd891cb89100228df174013c91cbe	3215	543	739	5909	2005
4afc41778dee1386968e4e89d294390ba9f202d8	59	26	105	5998	366
d40da1a4bccba27e44fc0488a04928ac0683f649	48	16	4084	57	53
00043c64b50ddccca3aae086cfee229d0e95c245	320	62	449	715	290
e72c6c493cfde5fda97c5a19b3e5d67595e7f0ea	1019	26	7	52	593
5fc57e28c29dcb0827ddca0315a50d1b8e2d221d	70	18	121	1194	62
30da5db12732ea3cdd8c11003127f0a75109aa07	10	4	1255	15	11
654b3fd2e7b22fc9ed2238b2424349b9e4888dcd	23	1	90	818	205
168a58996d55be18d94b4312c92aa8dbeb8878d7	206	4	245	527	104
12d629e20cbdd4bbee7203669e3ba3fc969f94b7	4	3	2	1038	6
f31004e4507aa15598ac402556829c06da30b1a6	63	5	52	628	289
1e8f469aef677c65bac65c7c7a7753c37b8318f0	10	3	981	21	13
8d4990aaa716948184faa876577224a41fde56ff	665	3	5	15	292
62e783cc03792a6526641ce4fc0bd1fd3978d62e	11	3	942	14	6
dffe227ea3f9919eaf6c8491f46b4ca9d2520888	163	42	170	354	73
96c19de9ba82f35793f5af58f8283b4b637c4d7a	2	4	4	685	7
89e977c1311f8cf326077b1f668b275d019fb77e	3	1	2	660	2
0239dc126bcd1784c8c69128158fda39922ffab2	259	10	41	281	48
04d9cb698bab654977b4693d16b3bf4a9a2a37e0	2	3	1	579	3
41d65beb75e6f31e0c7c82502c7bee39ef970f4f	12	3	156	302	104
10097c69fa210981fdd08a846ac8b518b2017ffc	340	2	1	3	180
000b99128700e6e5aee71f2dfee905a074f0182e	234	3	195	5	77
66f5e4ac7e59c280055c9ffd1331e1e57d6a6441	3	2	490	3	7
0892baea180c4d5d753f0e85e019cb9b1013af22	4	1	448	11	8
eee2fce6992f024dcda85d806bb7db4105eef145	251	5	2	3	140
0743b6fa6ec67a93cdf879fbb9da3c72797d23b7	22	47	69	188	71
0f1c931994a328af9274d59b9e173c9cf4b664f6	126	2	212	4	28
970839e4719931d5c1168499d65fa791a4547e69	65	1	83	174	49
beca2944eea180571e5c9f862d66160c0606f19e	48	1	87	166	64
118c05fa04086b894bcbe2300bd33ba9a692524e	3	4	47	252	2
3ee7739f3ea9f302408db55830f17db7e76644c2	100	1	147	10	47
0bd5f17c718c2245588c5caba358b02e9d0effc1	0	1	288	4	1
928ac03b9ae24d915151ce9e3c7ae608b955f4f5	1	0	0	288	1
001ebdc12d31f3e2b6b199e6a361eb48e484c0cd	96	1	135	6	39
f095df4678d84c2575403a38759a27c8048a6865	14	29	40	111	83
0f8461262f3c268a9229499ba8e17bfadf855038	15	21	48	137	24
16f1c25b0c1e2f0829e79b8cd834e5480a46760b	3	1	236	1	3
6c1646cc370b686ed08e85eb838a09be85f9035b	6	0	227	7	3
0feaee9d5d79d5285d21098b53977a46e3964291	1	3	206	22	6
c4c597d8186062a8c32ac884eff08b1637e87204	1	0	0	225	2
307d139b680ad48e99d6a1e05a905a180240c9ca	9	1	23	139	55
3061fb2137f30a33773bb19d42e0fee152427e7d	72	4	69	6	72
b3282f3de4e788310007f975c1b7693c7e6b53cf	28	3	37	118	31
5ce9a19b26740ca8dc2d7761ceadde0b7a36a553	31	0	58	86	37
fa410d69d534f37d3e9cfe8dc3f17001021cba70	129	3	39	4	37
5d29afb6706fed6ff0af596774471fc0bc930cab	5	3	191	5	4
008238c082ba85e00317c9bcc9068e94df3ac219	31	0	44	122	8
a2ea9efdca829025bcb7961b1d5090d24bb325a7	19	17	18	79	70
2d6a9bc18b9ad01f3c443d4a1f029a09146c219e	79	0	72	4	41
0039ee271185135c9ff9a89fe8f331dbda95e1c3	0	0	0	185	2
0041159e3821bd5abfc86dec22fc365fa3f2f4a3	1	0	0	182	0
f31da9ba055aa163a757cfa98a71e68dc8625e68	1	3	4	153	22
451009084181f6605e84e7985117676904e97ed8	0	0	164	0	1
0d0755abfba3f3d8425427c9e568986088cd6604	24	2	34	79	21
9c8a68f85b78941b044fc9742753c946ea202185	97	1	0	0	57
01778cc82379063781650dde3c52b1c2c41c214e	7	0	3	142	2
0cad78cd3a7ce7f77886bd56b3b92ef6a9060ced	2	1	145	3	1
100fce54ff9b383fed49aad4eb1763a279dd24ab	17	0	37	84	14
009fabb258d6b37f0ace3c4b2250d29d3e9e1412	61	1	54	2	33
4ccfc0045adbf564415e696c2f086a02b7465015	3	0	140	4	2
8123e0becb479c51b427b7cc3f39012768d527c7	4	0	9	106	29
1a4b66f28cb3c68ffc8301449984726fa2c1809e	4	3	136	1	1
a3dd46cec7c344562a550a29f1ab25867e103e8b	8	11	17	85	20
06525b3eceffd60b3fb630f631e7e80735e18276	0	0	0	136	0
006437ef5c700dc03850553f0a4f53b1127adfcb	0	1	2	131	0
8c79ea203d915f97631314bc5cea9522527778db	47	14	6	48	18
968a9b122e3f72d8b8b8f4161a5d1d10e27b9d7c	4	17	21	72	18
c7504eb3a531aa3bd5ced4a1c361344f5384f969	103	2	1	2	23
8b4e43c117fbee7357fe04aea65833d77388f1bc	5	14	21	78	11
2aec7aacaf6badb7e0e294478d839608b89421e8	2	1	73	47	5
392de4e3302c6743640f43cc72e813aeaed91a45	15	3	30	61	17
0137d9c92ae47192dda1fff13efdc9a98bdded7a	0	0	0	121	2
04e071bfa1e9183f9bc674979e06e2ffdfc0c7cf	1	0	0	122	0
1fc1e13f21bdf2085481d843ec20c8be2a6e7271	0	0	0	123	0
51704991e45796cddc03e08172cc78a25e5128f9	0	0	117	4	1
b211405bb56ecf6e864f37f1ba3b33537fa475b6	1	117	2	0	2
03df03f2aa500a9a97d9a853f8d58d6c3eff677f	43	0	57	6	12
04836ba00d960bb507509e1876f2b7f9fafa22bc	7	3	5	65	38
822cae47a5304988c68bace44bdcdc3a85cc392c	0	0	118	0	0
48c496b1da53741359ddec0e8fff6b3502062b76	26	0	30	34	25
56345f24037871168b78e5670b8c1bcc7672323e	77	0	0	0	38
0112397ad90bb8175bab6a78b31f427277d338f8	0	2	0	109	2
71a481cf6794b800f39fdf7758975c166c240281	2	103	1	1	4
016417a0d0c7675b28129affed51337d24a1188e	1	0	1	105	1
16ccc065f19c78c56a921debd7237d459ffb55c5	1	0	100	3	3
3bf134f8e3f078a990a492f50b38f14faa340990	11	5	19	47	24
aa120a5c6026d68e674e2188d81ddd6fdf057459	17	4	29	46	9
5bb1f7692fcc89bdb735e486900a63c5b48c8820	1	0	89	1	0
eaaa8a9af7b5a449b81dc54a77f291a20c01abc6	8	0	23	47	13
005070207a50201f91adc4b65d4b003377764da4	0	0	2	85	1
069699f800d8f4ae8adec5d560c37b2d56ee296b	1	1	86	0	0
040f777ea394829a55ca0fa44a21c356a0d3386a	0	0	1	85	1
d30be64cd57ccc47311a9ced51f2f62fec114847	4	4	10	55	14
01f51b0665c013d2d6a040bf0eb802d4b94762c1	0	1	1	81	1
fc4a52348711d870c35a9fb7ddd857ca66e87513	1	1	0	80	1
00f2a9c5e110da8870ce1bd8320fb3ca1964bbb9	1	1	75	2	2
174d116c7d117202d98d2b1cff3cc54823546827	0	2	0	78	0
0149d6dc55c49699d4eadecec7c07093b5faf84b	0	0	1	76	2
21e5a09f3bc10994d2926954f05f25d2bb36dc57	48	1	24	0	6
07b44de488a7fadd5e466863b0b282217aa19b46	1	1	74	0	1
07d9ebe393edec12dda083b04387083d12fb4963	2	1	68	3	2
05eef5489d09e35f90794e1266943b394ac2d092	9	0	18	39	8
39a8d016ba2da0ba83cde36f1325f0783346eb34	6	13	11	28	14
00f9224b4b441adc78fb0758c146b4b9264c1b46	4	9	50	7	1
015511a6bb5e67ee4b7e44a752bc2b401937706b	1	1	1	67	0
09089212fbc2d7bb848d61f7f676cadf2006898c	2	66	0	1	0
e3e421e3a965ed16a4cf9717c08ceab697a29657	1	63	0	2	3
834649699d8c5931e6c6233d2546140e2e97d8e8	0	0	0	67	1
021dfc8b6bb4e159c7e98d16ee48edb98c22b35a	0	0	0	66	1
032f0f6bbb9139b661845b7e9dc3f07f9ccd1185	1	1	61	2	2
25947e25a4ec444c077b32cdb488fd2c92fbd627	0	0	0	67	0
00415a0c535bd8d9537efbc785d0dc54f2c118be	1	40	0	24	1
01fc3b0d7df186df7df98a3966428e0bb57bccd3	5	11	4	29	16
3983a8a506642ad562a3282e1548004c8f0cd1c3	42	0	1	1	21
aef55baa6a9389bf18f6cec293fec91346508938	2	0	0	63	0
03852a5b2f9ac1e6051299cc8a631ab059ee098f	50	0	12	0	2
014c54c59820c5217bb2d8076dc31c0094a57389	2	0	0	60	1
1762a41b3738d79f1a4badad1842cd7cd89ee915	6	1	11	36	9
e78f8ababb47b4bed0c4c6f7746b95aaeb2fba6c	0	0	2	61	0
0488c3af727c3c6fbf1731084c44535e223972c9	0	0	0	62	0
57b5bc07f087edae92c70170aa327a8d64864fcd	3	12	13	32	2
0249e0aa185ebb1f631f00aabe20e1e49415fd12	1	0	1	59	0
167393a231548cabcf423b932d0ba11531f9eaf8	0	1	59	0	0
00bc8df65c966c35627b799010829d463b8b15fc	1	57	0	1	0
13e0bcf8d81c93d2777d3297820d9273d97971cb	1	0	0	58	0
44ccbf68ae5e40f07739b8d86150afd2916f3e2d	15	1	17	18	8
5f40d17a0fbcc5207ecaab928da436309743a675	2	7	8	30	12
9e2ec47ea6b926fad696648c5b4a18de325795be	21	0	1	1	36
01c52b1e8b464ebb0d345c2dc5bcb8a370751888	0	0	0	57	0
0aec43afefd30404eb27552a68b6bb207a015698	0	0	0	55	2
03674c5b90ab52aed1fd2de0e2a4ad9b938da9da	0	1	0	53	2
00a5ae7dc9867615c9c648ae6fa03efb91ec3d5e	36	0	11	0	8
2e34a86f6245e26cf0282fe088e2affc5dfbb947	0	0	2	50	3
d89decc1096410b25ee7cb72e034b9e7038e8df9	0	1	0	52	1
0022cbd2921ec9f8873067444a717f40382e0baf	0	0	1	51	1
03ca5d25a9249dc9344020b294f4fcf76d258482	0	0	0	53	0
2f72f2615a9594ed72260d3e451b537fd85913a5	0	0	0	53	0
d79ff41343a4247af3a6788199805987f1be5914	2	1	4	33	13
0f573d3b39327692ff1746b14ff9b9aedaf237aa	9	0	21	15	7
1998c122cb631cab9f39d6b01591920d599faca0	7	1	17	22	5
00a410a55c3e14355563b82c91388ba9217c3f69	1	0	1	49	0
01d96d3d72ecdca083c2941bc7296b27dfc36cf7	17	0	26	1	7
b3698b61f9e0d9655c82c70265914e6a3bda12da	3	0	17	24	7
147ea638168f55df3cc69d13ffd2a18d8aef8512	0	0	47	3	0
8ab3ccbd8617976419c838e5d88c360eeca40991	0	0	0	49	1
8be422bc5d48ccb76e0acd1e227f6aa53c0f969c	1	8	12	24	5
0229029bdf929eb798312fd264bd567f16f1dc78	0	1	45	3	0
4a855e2ace620b6ef0e99abd3d9c871d454d9b72	0	0	0	49	0
00769d3d6ba438ffbe2e7907012074ac956b52e4	26	0	19	1	2
060d8a150a6fc6dec9744396c94a94934c2cfbce	1	0	0	45	2
0f41f491a22211fe30bc7da9669076e23a4e7a47	0	1	0	47	0
72dcfc808d2bca12ab873bf48e5e7bb68c91cc0f	24	1	0	0	23
0096364119b435a4bff1723989918344c2e2421b	0	1	0	46	0
57230a1efa4f07e4190be9eb3ce19c481a5a4083	1	0	0	45	1
00afb3daa5bfd2df50435b7474f45566636e9fc0	3	0	41	2	0
0615034d197d17c7851cb30ec02ebb6bd1147f72	1	1	43	0	0
47618b5c45ebb9f0b00c82c88a2977d0814d59da	6	0	14	20	5
e35035bb0dee055d37605d1221c8b5cae2b826c6	1	0	43	0	1
0142533d6daa6917f188fd931ab03f693838a420	0	0	0	44	0
0181b28f6855f4448622817c8cad658b5f17e965	42	0	0	0	2
011873f5ebd533d3f513fda34e2e9487b3a14108	0	0	41	0	0
0ccd33f7dd104d4af7b502df278baedfa7099c6b	1	40	0	0	0
3dc2bbce6caf253a7471ede2a8261a051cdee238	7	4	5	18	7
003c2724e258cdc04fb02095e565517f9aac4bc1	8	28	1	1	2
018f90861bbe4eed93b6f643b15d248528db27e4	1	2	36	1	0
a3dce53e379bf3f7be3e7a1d76c8bb2a9a87daeb	3	5	8	16	8
0803b6d3c500a425bf8613b2d966b4b5e2d22d00	1	0	0	38	0
0e69231e61c4578bac4d53b1a48fcf36611ca767	0	1	38	0	0
581da5c6a3a48e7741c8a98d5d33187bcabf891c	1	0	37	1	0
01d96bc1a5e3c77693d85d1488ac25780f478788	0	0	0	38	0
140013ef0d2ac83ddce4a9214c871135f08b29d1	0	0	0	38	0
1451b344facde3247514ee4ba8b37a04acc988e6	0	0	0	38	0
35ab4f60972369b8b8748ed1ef775f20e98b14f1	2	3	2	21	10
59465966cf6266a70e208d3120aa328522e704b4	4	3	4	16	11
04c436c92b3455364a206e5834aefeadc200fab2	3	3	8	22	1
0926fa6cfe99386c3887c4475c508690bd37ce0f	0	8	0	27	2
117a699bdb40414cb9f90401ae00f98e35c4ec86	3	6	7	14	7
3fd319fa5bcbeec01bc13d9394ebd167782ccbca	0	0	11	20	6
9b2aa368541ad0942357ebda000e76dbb19bde8f	6	2	7	20	2
037cdf7f70b2dd9e77eaaf44dffcc26bdf796e25	1	0	34	0	1
1717a7be55e4fd2a5890118778dc802758edb622	0	0	0	36	0
3f03dfd90718f90e7314322d3af973c009800051	3	3	3	24	3
9197c95bb736f824884c2fa9cbc2b07b4006c02b	3	7	9	15	2
cb1f2db98cb9cd9312befce5815e0a93024ac64d	0	0	0	35	1
efc1b112090f70df762f3361d94cf07ce86e1dc4	0	0	0	34	2
03ef59c8d9e44c4a8bc1530b5d63ddcdc9909c89	0	1	33	0	1
0cd69c54e63e9f342e8d90dc190d0f5824b72787	0	0	35	0	0
14ffd770b6c33f3389be4612b7ddd6e67becd2d7	0	0	0	35	0
438ef9e88d78f74728201b5f50caafdf49301646	0	0	0	34	1
0105296ce8221edf93d65c1c8d6d42cbba31d90b	0	1	32	1	0
02a0459d784f2b91e5064f6e4a93585dbd6dd95d	0	0	0	33	1
097a8c60de5eb84505885eedc02534706cab79b9	0	0	0	33	1
0a03c3f687e4520f0e10615c3b8ecf5bf6285aee	0	0	0	34	0
0e7232c9862c250c31a59a2fd533c9574931ba67	0	0	0	34	0
13ba3ff1744bc4d4e129712f5366ca864b0f67e1	1	1	28	2	2
b38ac1b139e102d70a670235d1b0a21ed8d11a8e	0	0	31	3	0
00fff165b206f8909f1e74a24daeb76487c43053	2	0	5	26	0
06bd33b11c2755a950bd3d0186068e9bd1cbc575	1	0	1	31	0
68ffdfb1b006787ecf50e5b651cfd7ea4ac65926	1	0	29	0	2
03d81d4704624e3169aba4b958f2d80dc85190b3	0	0	0	31	0
03ef236320260189b291ba521f033276643e7d1a	0	31	0	0	0
868e274d2b51f50c487e3e451a73b42020d0cba8	0	0	0	31	0
14853eb77b6d977e83aa0d878ce8df379f58a7ee	0	4	8	14	4
171c7ad46a0171df2066331f4f12ed75445932e5	0	0	0	29	1
5a1de1675415b6728b3c04f2321e66805e4bde94	2	2	5	14	7
0a939b3ab3b012b437901ed8cb265f9e6f76d1fb	0	0	28	1	0
0bd35006111e849bbdc1c9590cf084bea92b8b8c	1	0	27	0	1
11b7b01aceb7952d014afbbc085273a6fda64e7f	2	3	3	17	4
1e3f5aa1a8cefc417d626ef223260f0209e0b2b4	0	29	0	0	0
b8f25ee65d2c9665719dda8b88573c5ff5dee0b5	6	0	16	1	6
0117aa8f144936f5fdb79835a274af79ee11c14b	0	0	0	28	0
05b70e429c3c47585d808505c6785ae7b4685168	0	0	0	28	0
0feabbe571e9f308cba274e17592851008a540f4	1	0	24	1	2
146490a71246bb2f10eb2a82961bcba3ceef2f5c	0	0	0	28	0
15280e9a5d820d1cf7fb0eea2f9d5ea2326747ad	0	0	26	2	0
77c4ee4ec7e4a184fa7ca57f9d757b33fc703b20	0	0	0	28	0
e9aa22dc0ff20be2ea41a2f3433963585eb52790	1	0	3	22	2
03fa02821e783b8a2e05bf6850a15c87651b4790	1	0	0	26	0
0692873104cfae4ca65e32520a415dd260f3dffa	0	0	1	17	9
52e0613d65db442004565e4dd32b15b36b973b6f	0	0	1	26	0
5c328e216c9b54b436aec735a1d1f3c9cfe389cb	22	4	0	1	0
80acc061bc5ba4c066848fdd6aa51571f1718e6b	0	0	27	0	0
a45530cfa7865dd7a9c36c1c82973a0bcb115f42	0	1	0	25	1
ccbf0ece632e98c2760495c16584c8fd427a105a	5	1	3	9	9
005897212708b74a91f87173bfa32d34ad7a3fe7	1	0	6	19	0
0e59ec24bdd2fbf1c00cdd52a28230d7fe9d3646	0	0	0	26	0
10312348407dfa8f6c3a445fb94535761327834d	17	0	0	1	8
2368a612715e24e71c63571051571adcd4cce8f9	1	4	4	14	3
49d5633d1c0b898a48521f535181fbb867b013c0	1	1	1	19	4
8776610f72def555c209a49a155f193a23f7b1f9	2	2	3	14	5
f89d3c9f484b7925e3f82edc0ca73890c8451bfa	3	1	8	6	8
0266f98b2bc152cc207d3debdcc4ae4e9f83ef99	0	0	24	1	0
110b68f2ee5776b6693bb5ddba89872ac6b4260f	1	0	0	24	0
7d6252cf959a09577a086a6bdcad026e0dbd45eb	0	0	0	25	0
88f8306c5dfd4eb1c681110eb1731632072cadf2	0	0	0	25	0
9b26dadf77720d5da19117dbc9b4b8208f582c02	0	0	2	22	1
bdaf1760bbb0c670d1fcbbc9fcbdcc7968b3a248	0	0	0	25	0
002917aea0fc65ab42bf54e4daece0e47b2c0d41	1	6	0	17	0
0123546a69fc84a034d08a99b49c34aaf0f64951	0	0	0	24	0
03cf5e5ef74953b503f02792f13f024f39db9886	0	0	0	24	0
0460dbe8cb048c1a345e510d8e661e0be7e12918	0	0	0	24	0
04a4023117187e17937e3bce72bdab226c2153df	0	1	1	22	0
07c25454648be6f19341496a29f1290d96c1083d	0	0	0	24	0
18d6fd499999ff8e06194ec8a36d31cfa7073c43	2	1	0	20	1
962873bd54ffea6e423d25d91977dd2b9f3432cf	0	0	0	24	0
b0a1bdc51f2c7c8f56f3cfd734b31aa72eeb483b	1	0	0	23	0
bcd686e449e988cea69dcd313f101317d5c9f208	14	0	0	1	9
0178eb592a232fa0ca5a5767c49a203e906674e1	1	0	0	22	0
03818683f2b95bbf63badcf72f5cf78b80f5bc19	0	0	0	23	0
03f57fa302ab7d59690aad01bb13196a4bad28f8	10	0	6	5	2
0a6f9fa0a1339817da1a13c8ef143d70ff29996b	2	1	1	1	18
49f51ec0c51a61f24ae4d1df20b65a1c96361874	1	0	0	21	1
73e570ee69a1d8ee1a57636abd53ba02a445ead9	2	4	2	11	4
7ff0866068f1ecac5abc89595ee7ce55ef90be94	1	0	0	22	0
8cd26107a3cc9fc05c64d5b1219e3149064c303e	1	0	8	10	4
bb7cd344efe66d7a0e1f48dc9232175d5823c28d	0	0	0	22	1
0222df3d42ae3ae7030fbe0cda3c593a0bcee01a	0	0	0	22	0
03b69ae88c8ca90553e37e6551b6a7994120a39c	0	0	0	22	0
1574723eacb028413de46556f6e363b9e8462346	0	0	0	21	1
2b6bf419f3f78c210949d057919ce21a34c0c94e	14	0	7	0	1
2ef906111415acffdfcb97ac09bdc1196b367c97	0	1	0	16	5
9e055fff700715ba3303a768f1bc95d757952568	0	0	0	21	1
9e1440114f30da635a191ebc6666bdb409814025	0	0	0	22	0
c07f2be216cfdc5256488629a1bbb1aca4fb2454	1	0	3	15	3
f3f476a6a381a1201fd43f2af99ece5ed3acb492	9	1	1	7	4
014aebddb01363a8e40ff722f8c446a2b9a09364	11	0	5	4	1
044c358b1b0f3d438863c3252752b2f77a5243b4	0	0	1	20	0
0b86c7a2908a7eae0db3462e09b7a7954b469130	0	0	0	21	0
12a0861bb6e0a03421274c5338ffb4510300c06a	0	0	20	1	0
1900770753cee282947a467685ff01d9e3f55ccb	0	0	0	19	2
20f03193a71ce9fadb9771e18464b1c442f1245b	0	0	0	21	0
46ff6f00ec35639d88935f874fb51d54a046fe36	0	3	2	8	8
54e35434b798dd231bb64d333b2806069c1f2584	3	3	1	5	9
cd12d08e61dc8f4c54a8e9987e98c7aecf651c03	0	0	0	21	0
cf1986c7c2d5dbb716c54be24c2a4d172eb34823	11	0	7	0	3
01b08f86bf3dc5515828f816c6f5689b1bfb4aaf	0	0	20	0	0
0bf464f110eb5b20825fdb3c15a56fd5a3c9a52a	0	0	0	20	0
2caf4a6b555842d46b6170189779e7a103fcbd62	0	0	0	20	0
345bb81e6bf5c0867b09d3a0be42eb1730cc77b0	0	0	0	20	0
5c35ee24895a4f52b760052ef8c93d4ddfd4491b	2	1	5	9	3
5e425911f5941623f86eed8c770f67577958d034	0	0	0	20	0
8ae144382b2a42b82b79da9516622fa700fe578b	0	0	0	19	1
9f8e8cd7c717edcfdebc8b453697ea1df53e142c	20	0	0	0	0
a4bbaaf39ad71c9da19597ed46810766cdeb082c	0	0	0	20	0
e496e124a74821a04c6e4d51387b1afc12a0efec	0	1	0	19	0
e4f84808a377ab9d21cf84fc0b01c9b3415efa42	0	0	20	0	0
047d2bb1b6bdc095fd490451665119710d8b96d5	0	0	0	19	0
0a1931241a6113af9ffe8ba3a5f04980d425a4b4	0	0	0	19	0
1ce674f58d2b074c70aa9f5d4bf46bbbddf7bd03	0	0	1	17	1
1dcea560d0085d482760367c42cc1a71f5c6a755	1	1	0	17	0
2270d191aa0fa6cb74c3272243bcd6299c197e3f	1	0	18	0	0
2ab2e9c96543b5a0c8a76969c60ce035ecb4e88b	0	0	0	19	0
3328701d2701422f7d91b3ec083a2f257c49bee2	0	0	0	18	1
43aca9b5fd40ad7aca6d799a0ebe7721a1bcce1c	0	0	0	19	0
489f228691eacee17a1a907a4ee25229b3dab5b9	2	0	4	8	5
77d80f852eba0c3621a51dcee23dd98dfc60d080	1	0	6	10	2
868e0896a4c61a69e0e0325c444d64a295b3064f	0	0	0	19	0
a3d87aa83f621700ea78dd41352c200f290cd8ee	0	0	0	19	0
c932a1266e221bc2c7844d8dbeaef7ca849be1b6	11	0	1	1	6
01921f71ba3642f370eebad852857af61c8b0479	0	1	0	17	0
01fa2bf44f4e0900f23e6c0dfcaa1eca60a32a0d	0	0	0	18	0
04f2a13d1e774fa8a39150865a22758bb6a56ff6	0	0	0	18	0
0521471a94f41025ade8e5a2c4dc6e383b00f746	0	0	15	1	2
0aaf98ed595c0a5225df978ba52e17877f5817c7	0	0	0	18	0
1351103ea7bf710b063c004b530948b929857311	0	0	1	16	1
265d4881c02180b3db94573a102d3ba38f8d173f	18	0	0	0	0
33a8ba8f9bd7c327ad329940c51c29226610483e	2	0	2	12	2
36d03b80c886f4699ad394aab8c0fa0b167b8f01	1	0	1	13	3
38bc1af4a0aa51de47bf358976000e73bbd8fd06	1	3	3	9	2
3d3eeb60c8818d585048c024e06e9d69f7ea7e79	0	0	0	18	0
3e52a353cca8aca90f990d9cd31e8e8d401a0528	0	0	0	18	0
5f54bc755af4f34ffb7a45c0994848ec88be2fc5	0	0	0	17	1
7f30a599a9d54d5807ebb462ae5d5e27a206f372	0	1	0	17	0
b58365beba701097faf245c1442eda0bc964a93c	7	0	5	1	5
bbde84cf42f0fc90212c5750171456c307978dbc	10	0	1	1	6
f4fb842f948407fcf6c2ab4763f46a579254dde9	0	0	0	18	0
f74941bb2f6a36d00c29d1b168dafa328156cdd4	5	0	2	7	4
00f0023cebd49281f47d8b6ea8721825907ac2c1	0	0	0	17	0
01639fd7c99031f70f103ba1e3ea1f1117cd8311	0	0	0	17	0
08dacaa534d9bfca6c2622247873d0e1cbcca046	0	0	15	1	1
0f4e1db37aed6f13dd90d3abde04386d82a80293	0	0	1	15	1
11b7a2d80c973a3cc0e4a5b4be73900b5bf7f0b0	0	0	0	17	0
14f1bda9ce5619368d39d21513f0936686c6fbc7	0	0	0	17	0
16c1e2333ee8089ab934b9edbdfdfe8efd2c29ec	0	0	0	17	0
177e6678ba4017c186ea2a1e4246cd422a3f8163	1	0	0	16	0
1a6a78863ac01811d03cb2c4fe635fde0664f05b	0	0	0	17	0
